key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
3495493445,3521,2015-05-29 16:11:52.000,7.8141190,52.4589374,104.6,3,A,103,2015-05-29 16:13:35.999,3691,3295,22,0.05,20.32,0.89,4.35
0830415896,3521,2015-05-29 16:11:52.000,7.8141244,52.4589389,103.8,3,A,104,2015-05-29 16:13:36.999,3691,3304,22,0.22,19.66,0.88,3.84
0472322704,3521,2015-05-29 16:11:52.000,7.8141230,52.4589352,103.1,3,A,105,2015-05-29 16:13:37.999,3691,3302,22,0.02,20.97,0.46,3.84
3161867856,3521,2015-05-29 16:11:52.000,7.8141220,52.4589317,102.7,3,A,106,2015-05-29 16:13:38.999,3691,3320,22,0.04,15.73,0.56,3.84
1548375000,3521,2015-05-29 16:11:52.000,7.8141193,52.4589320,103.0,3,A,107,2015-05-29 16:13:39.999,3691,3323,22,0.30,13.76,2.50,4.10
2410849477,3521,2015-05-29 16:11:52.000,7.8141172,52.4589330,103.6,3,A,108,2015-05-29 16:13:40.999,3691,3323,22,0.17,5.24,3.59,4.61
2112217717,3521,2015-05-29 16:11:52.000,7.8141150,52.4589327,103.9,3,A,109,2015-05-29 16:13:41.999,3691,3325,22,0.18,9.83,0.89,4.86
2656646198,3521,2015-05-29 16:11:52.000,7.8141185,52.4589319,104.3,3,A,110,2015-05-29 16:13:42.999,3691,3323,22,0.20,14.42,0.70,4.61
2071721251,3521,2015-05-29 16:11:52.000,7.8141306,52.4589344,104.1,3,A,111,2015-05-29 16:13:43.999,3691,3325,22,0.09,15.73,0.46,4.35
1888790937,3521,2015-05-29 16:11:52.000,7.8141327,52.4589367,104.5,3,A,112,2015-05-29 16:13:44.999,3691,3322,22,0.57,17.69,2.80,4.35
0828035343,3521,2015-05-29 16:11:52.000,7.8141275,52.4589347,104.9,3,A,113,2015-05-29 16:13:45.999,3691,3322,22,0.05,17.69,0.53,4.35
3730071410,3521,2015-05-29 16:11:52.000,7.8141271,52.4589341,105.3,3,A,114,2015-05-29 16:13:46.999,3691,3322,22,0.07,14.42,2.67,4.35
0449985048,3521,2015-05-29 16:11:52.000,7.8141258,52.4589346,105.9,3,A,115,2015-05-29 16:13:47.999,3691,3310,22,0.19,15.73,1.71,4.35
3920024337,3521,2015-05-29 16:11:52.000,7.8141277,52.4589348,106.4,3,A,116,2015-05-29 16:13:48.999,3691,3320,22,0.24,19.66,2.96,4.35
0076390661,3521,2015-05-29 16:11:52.000,7.8141307,52.4589358,106.8,3,A,117,2015-05-29 16:13:49.999,3691,3322,22,0.20,24.25,0.85,4.35
1444025602,3521,2015-05-29 16:11:52.000,7.8141241,52.4589313,107.1,3,A,118,2015-05-29 16:13:50.999,3691,3322,22,0.05,24.90,0.52,4.10
1294787391,3521,2015-05-29 16:11:52.000,7.8141215,52.4589318,107.4,3,A,119,2015-05-29 16:13:51.999,3691,3288,22,0.01,22.28,0.44,3.84
2151631090,3521,2015-05-29 16:11:52.000,7.8141210,52.4589332,107.5,3,A,120,2015-05-29 16:13:52.999,3691,3292,22,0.04,22.28,0.39,3.84
3746899388,3521,2015-05-29 16:11:52.000,7.8141204,52.4589324,107.9,3,A,121,2015-05-29 16:13:53.999,3691,3322,22,0.08,23.59,3.40,4.10
1444197989,3521,2015-05-29 16:11:52.000,7.8141147,52.4589329,108.2,3,A,122,2015-05-29 16:13:54.999,3691,3305,22,0.07,23.59,0.65,4.35
